Mejor Fitness,NFE
8580.0,237
8278.0,237
8528.0,237
8271.0,237
8972.0,237
8824.0,237
9062.0,237
8418.0,237
8820.0,237
7784.0,237
9189.0,237
8387.0,237
8694.0,237
8597.0,237
9176.0,237
8079.0,237
9095.0,237
8946.0,237
9085.0,237
9149.0,237
8724.0,237
8533.0,237
9029.0,237
8877.0,237
8164.0,237
8591.0,237
9118.83626292937,237
9017.0,237
8172.0,237
